Banc de test optique V0.2

tension de test théorique : 12V
tension = 0.00 VDC;courant = 0.00 A;

Angle °;cd;X;Y;lux;temperature ambiante °C; temps après allumage en ms;
0.2;0.25;0.0000;0.0000;0.0142;1994.68;255217;
0.4;0.31;0.0000;0.0000;0.0179;1994.68;255633;
0.6;0.32;0.0000;0.0000;0.0179;1994.64;256049;
0.8;0.32;0.0000;0.0000;0.0179;1994.55;256465;
1.0;0.32;0.0000;0.0000;0.0179;1994.55;256881;
1.2;0.32;0.0000;0.0000;0.0179;1994.63;257297;
1.4;0.32;0.0000;0.0000;0.0179;1994.63;257713;
1.6;0.32;0.0000;0.0000;0.0179;1994.58;258129;
1.8;0.32;0.0000;0.0000;0.0179;1994.64;258545;
2.0;0.32;0.0000;0.0000;0.0179;1994.64;258961;
2.2;0.32;0.0000;0.0000;0.0180;1994.63;259377;
2.4;0.32;0.0000;0.0000;0.0181;1994.60;259793;
2.6;0.32;0.0000;0.0000;0.0182;1994.57;260209;
2.8;0.32;0.0000;0.0000;0.0183;1994.99;260625;
3.0;0.33;0.0000;0.0000;0.0185;1995.03;261041;
3.2;0.33;0.0000;0.0000;0.0186;1995.03;261457;
3.4;0.33;0.0000;0.0000;0.0188;1995.03;261873;
3.6;0.33;0.0000;0.0000;0.0190;1995.03;262289;
3.8;0.34;0.0000;0.0000;0.0191;1995.02;262705;
4.0;0.34;0.0000;0.0000;0.0192;1995.02;263121;
4.2;0.34;0.0000;0.0000;0.0194;1995.06;263537;
4.4;0.35;0.0000;0.0000;0.0196;1995.06;263953;
4.6;0.35;0.0000;0.0000;0.0198;1995.05;264369;
4.8;0.35;0.0000;0.0000;0.0200;1995.05;264785;
5.0;0.36;0.0000;0.0000;0.0202;1995.03;265201;
5.2;0.36;0.0000;0.0000;0.0204;1995.43;265617;
5.4;0.36;0.0000;0.0000;0.0206;1995.38;266033;
5.6;0.37;0.0000;0.0000;0.0208;1995.38;266449;
5.8;0.37;0.0000;0.0000;0.0211;1995.41;266865;
6.0;0.38;0.0000;0.0000;0.0213;1995.41;267281;
6.2;0.38;0.0000;0.0000;0.0215;1995.38;267697;
6.4;0.38;0.0000;0.0000;0.0217;1995.33;268113;
6.6;0.39;0.0000;0.0000;0.0220;1995.30;268529;
6.8;0.39;0.0000;0.0000;0.0222;1995.30;268945;
7.0;0.40;0.0000;0.0000;0.0224;1995.27;269361;
7.2;0.40;0.0000;0.0000;0.0226;1995.28;269777;
7.4;0.40;0.0000;0.0000;0.0228;1995.30;270193;
7.6;0.41;0.0000;0.0000;0.0230;1995.28;270609;
7.8;0.41;0.0000;0.0000;0.0233;1995.30;271025;
8.0;0.41;0.0000;0.0000;0.0234;1995.30;271441;
8.2;0.42;0.0000;0.0000;0.0236;1995.27;271857;
8.4;0.42;0.0000;0.0000;0.0239;1995.36;272273;
8.6;0.42;0.0000;0.0000;0.0241;1995.34;272689;
8.8;0.43;0.0000;0.0000;0.0243;1995.33;273105;
9.0;0.43;0.0000;0.0000;0.0245;1994.80;273521;
9.2;0.44;0.0000;0.0000;0.0247;1994.80;273937;
9.4;0.44;0.0000;0.0000;0.0250;1994.32;274353;
9.6;0.44;0.0000;0.0000;0.0252;1994.35;274769;
9.8;0.45;0.0000;0.0000;0.0254;1994.32;275185;
10.0;0.45;0.0000;0.0000;0.0256;1994.32;275601;
10.2;0.46;0.0000;0.0000;0.0259;1994.38;276017;
10.4;0.46;0.0000;0.0000;0.0261;1994.38;276433;
10.6;0.46;0.0000;0.0000;0.0263;1994.38;276849;
10.8;0.47;0.0000;0.0000;0.0265;1994.36;277265;
11.0;0.47;0.0000;0.0000;0.0268;1994.36;277681;
11.2;0.48;0.0000;0.0000;0.0270;1994.36;278097;
11.4;0.48;0.0000;0.0000;0.0273;1994.33;278514;
11.6;0.49;0.0000;0.0000;0.0275;1994.33;278929;
11.8;0.49;0.0000;0.0000;0.0278;1994.33;279345;
12.0;0.49;0.0000;0.0000;0.0280;1994.36;279761;
12.2;0.50;0.0000;0.0000;0.0283;1994.38;280177;
12.4;0.50;0.0000;0.0000;0.0286;1994.38;280593;
12.6;0.51;0.0000;0.0000;0.0289;1994.38;281009;
12.8;0.51;0.0000;0.0000;0.0290;1994.44;281425;
13.0;0.52;0.0000;0.0000;0.0293;1994.45;281841;
13.2;0.52;0.0000;0.0000;0.0295;1994.39;282257;
13.4;0.53;0.0000;0.0000;0.0298;1994.79;282673;
13.6;0.53;0.0000;0.0000;0.0300;1994.80;283089;
13.8;0.53;0.0000;0.0000;0.0303;1994.80;283505;
14.0;0.54;0.0000;0.0000;0.0306;1994.77;283921;
14.2;0.54;0.0000;0.0000;0.0309;1994.74;284337;
14.4;0.55;0.0000;0.0000;0.0311;1994.80;284753;
14.6;0.55;0.0000;0.0000;0.0314;1994.89;285169;
14.8;0.56;0.0000;0.0000;0.0317;1994.45;285585;
15.0;0.56;0.0000;0.0000;0.0319;1994.45;286001;
15.2;0.57;0.0000;0.0000;0.0322;1994.38;286417;
15.4;0.57;0.0000;0.0000;0.0326;1994.42;286833;
15.6;0.58;0.0000;0.0000;0.0329;1994.41;287249;
15.8;0.59;0.0000;0.0000;0.0332;1994.80;287665;
16.0;0.59;0.0000;0.0000;0.0335;1994.84;288081;
16.2;0.60;0.0000;0.0000;0.0339;1994.84;288497;
16.4;0.60;0.0000;0.0000;0.0343;1994.79;288913;
16.6;0.61;0.0000;0.0000;0.0347;1994.80;289329;
16.8;0.62;0.0000;0.0000;0.0352;1994.83;289745;
17.0;0.63;0.0000;0.0000;0.0358;1995.28;290161;
17.2;0.64;0.0000;0.0000;0.0365;1994.96;290577;
17.4;0.66;0.0000;0.0000;0.0372;1994.96;290993;
17.6;0.67;0.0000;0.0000;0.0379;1994.99;291409;
17.8;0.68;0.0000;0.0000;0.0386;1994.96;291825;
18.0;0.69;0.0000;0.0000;0.0392;1994.96;292241;
18.2;0.70;0.0000;0.0000;0.0397;1994.98;292657;
18.4;0.71;0.0000;0.0000;0.0401;1995.03;293073;
18.6;0.72;0.0000;0.0000;0.0406;1995.03;293489;
18.8;0.72;0.0000;0.0000;0.0410;1995.08;293905;
19.0;0.73;0.0000;0.0000;0.0414;1995.12;294321;
19.2;0.74;0.0000;0.0000;0.0418;1995.14;294737;
19.4;0.75;0.0000;0.0000;0.0422;1995.12;295153;
19.6;0.75;0.0000;0.0000;0.0427;1995.09;295569;
19.8;0.76;0.0000;0.0000;0.0431;1995.09;295985;
20.0;0.77;0.0000;0.0000;0.0435;1995.19;296401;
